Date,Year,Month,Day,Average Temperature,Average Ozone,Average AOD,Average Dew Point,Average Relative Humidity,Average Pressure,Average Precipitable Water,Max Temperature,Min Temperature,Total GHI,Total DHI,Total DNI,Total Clearsky GHI,Total Clearsky DHI,Total Clearsky DNI,Daylight Weather,time_idx,RMM2,MJO Amplitude,avg_temp_by_month,avg_humidity_by_month,weather
1-1-2000,2000,1,1,0.35164835164835173,0.358490566037736,0.06315789473684212,0.3471074380165289,0.428205128205128,0.6386138613861405,0.2826086956521739,0.2916666666666665,0.35483870967741926,0.44389501711677454,1148.0,6053.0,4980.0,668.0,8497.0,Clear,0.0,0.14247,0.37791,22.1,75.1,Clear
1-2-2000,2000,1,2,0.4065934065934065,0.32704402515723285,0.06315789473684212,0.46280991735537214,0.5435897435897432,0.7524752475247567,0.32608695652173897,0.40624999999999956,0.3655913978494627,0.4540382908583746,1327.0,5598.0,4965.0,672.0,8458.0,Clear,1.0,0.15862,0.47215,22.6,79.6,Clear
1-3-2000,2000,1,3,0.4065934065934065,0.34591194968553474,0.10000000000000002,0.5702479338842976,0.7076923076923076,0.7871287128712936,0.41304347826086957,0.40624999999999956,0.39784946236559127,0.33853176112590344,1404.0,3973.0,4898.0,742.0,8083.0,Clear,2.0,-0.10587,0.29625,22.6,86.0,Clear
1-4-2000,2000,1,4,0.4065934065934065,0.4150943396226412,0.12105263157894737,0.5537190082644627,0.6846153846153842,0.7871287128712936,0.3478260869565217,0.3541666666666665,0.39784946236559127,0.44085203499429443,1209.0,4779.0,4938.0,772.0,8082.0,Clear,3.0,-0.2459,0.29503,22.6,85.1,Clear
1-5-2000,2000,1,5,0.4065934065934065,0.4402515723270437,0.13157894736842107,0.4876033057851241,0.5743589743589743,0.8019801980198054,0.2391304347826086,0.34375,0.4193548387096777,0.43070876125269436,1763.0,4400.0,5022.0,743.0,8277.0,Clear,4.0,-0.22151,0.22741,22.6,80.8,Clear
1-6-2000,2000,1,6,0.39560439560439553,0.4025157232704404,0.12631578947368421,0.4297520661157024,0.4871794871794872,0.8366336633663423,0.17391304347826086,0.34375,0.43010752688172027,0.44820590845695457,1749.0,4569.0,5089.0,736.0,8427.0,Clear,5.0,-0.44997,0.63512,22.5,77.4,Clear
1-7-2000,2000,1,7,0.3846153846153846,0.32704402515723285,0.20526315789473687,0.36363636363636376,0.41025641025641035,0.8267326732673297,0.15217391304347822,0.34375,0.38709677419354827,0.299353366298973,2404.0,1131.0,5092.0,796.0,8242.0,Partly Cloudy,6.0,-0.54323,0.79226,22.4,74.4,Partly Cloudy
1-8-2000,2000,1,8,0.4065934065934065,0.320754716981132,0.20000000000000007,0.39669421487603307,0.4410256410256408,0.7920792079207999,0.19565217391304346,0.34375,0.40860215053763427,0.3867123113985039,1783.0,3216.0,5077.0,780.0,8161.0,Clear,7.0,-0.58393,0.96811,22.6,75.6,Clear
1-9-2000,2000,1,9,0.3846153846153846,0.32704402515723285,0.16842105263157897,0.3719008264462811,0.42564102564102546,0.7326732673267315,0.15217391304347822,0.3125,0.37634408602150526,0.298339038924813,2218.0,1439.0,5143.0,724.0,8444.0,Partly Cloudy,8.0,-0.45203,1.05063,22.4,75.0,Partly Cloudy
1-10-2000,2000,1,10,0.3846153846153846,0.3144654088050314,0.24210526315789477,0.4462809917355375,0.5307692307692304,0.6732673267326703,0.2608695652173913,0.3333333333333335,0.39784946236559127,0.3046785850133131,1569.0,3034.0,5007.0,869.0,7799.0,Clear,9.0,-0.61194,1.33982,22.4,79.1,Clear
1-11-2000,2000,1,11,0.4065934065934065,0.32704402515723285,0.18947368421052635,0.46280991735537214,0.5358974358974355,0.6089108910891099,0.39130434782608686,0.34375,0.39784946236559127,0.43299099784455436,1758.0,4215.0,5002.0,793.0,7897.0,Clear,10.0,-0.6776,1.55536,22.6,79.3,Clear
1-12-2000,2000,1,12,0.39560439560439553,0.3773584905660379,0.1578947368421053,0.4462809917355375,0.5205128205128207,0.5792079207920793,0.39130434782608686,0.30208333333333304,0.43010752688172027,0.37859769240522384,2009.0,3072.0,5040.0,759.0,8098.0,Cloudy,11.0,-0.07112,1.11222,22.5,78.7,Cloudy
1-13-2000,2000,1,13,0.3406593406593408,0.39622641509433976,0.12631578947368421,0.4214876033057853,0.5410256410256411,0.5990099009900973,0.3043478260869565,0.2604166666666665,0.3655913978494627,0.4605046278686447,1784.0,4413.0,5150.0,684.0,8466.0,Clear,12.0,0.08484,1.11063,22.0,79.5,Clear
1-14-2000,2000,1,14,0.3296703296703294,0.4339622641509431,0.1578947368421053,0.4132231404958677,0.5487179487179483,0.6881188118811892,0.32608695652173897,0.2604166666666665,0.35483870967741926,0.5023456320527451,1563.0,5530.0,5129.0,731.0,8329.0,Clear,13.0,0.34166,0.87662,21.9,79.8,Clear
1-15-2000,2000,1,15,0.25274725274725274,0.4779874213836477,0.28421052631578947,0.3471074380165289,0.5333333333333334,0.777227722772281,0.2391304347826086,0.16666666666666696,0.2795698924731178,0.34994294408520354,1785.0,3230.0,5178.0,823.0,8073.0,Clear,14.0,0.3383,0.9385,21.2,79.2,Clear
1-16-2000,2000,1,16,0.2417582417582418,0.5534591194968552,0.2315789473684211,0.23140495867768607,0.36923076923076903,0.8168316831683242,0.17391304347826086,0.17708333333333348,0.25806451612903225,0.4315962977050844,2090.0,3062.0,5236.0,815.0,8230.0,Cloudy,15.0,0.50662,0.84133,21.1,72.8,Cloudy
1-17-2000,2000,1,17,0.23076923076923084,0.5723270440251571,0.20000000000000007,0.20661157024793386,0.34615384615384626,0.7722772277227747,0.15217391304347822,0.15625,0.25806451612903225,0.43755547102827447,2132.0,3455.0,5300.0,775.0,8400.0,Partly Cloudy,16.0,0.26411,0.58549,21.0,71.9,Partly Cloudy
1-18-2000,2000,1,18,0.20879120879120894,0.5723270440251571,0.2736842105263158,0.22314049586776874,0.39230769230769225,0.6732673267326703,0.2826086956521739,0.13541666666666652,0.24731182795698925,0.3390389248129834,2459.0,1333.0,5226.0,790.0,8188.0,Partly Cloudy,17.0,0.35349,0.4039,20.8,73.7,Partly Cloudy
1-19-2000,2000,1,19,0.21978021978021944,0.6352201257861634,0.4263157894736843,0.3388429752066118,0.556410256410256,0.6039603960396036,0.36956521739130427,0.11458333333333348,0.25806451612903225,0.1868898186889819,1788.0,285.0,5083.0,1002.0,7384.0,Cloudy,18.0,0.40689,0.56636,20.9,80.1,Cloudy
1-20-2000,2000,1,20,0.2637362637362637,0.591194968553459,0.3052631578947369,0.3471074380165289,0.5153846153846151,0.6089108910891099,0.43478260869565205,0.16666666666666696,0.3118279569892477,0.25548370736655257,2028.0,799.0,5140.0,900.0,7724.0,Cloudy,19.0,0.32817,0.42905,21.3,78.5,Cloudy
1-21-2000,2000,1,21,0.25274725274725274,0.5157232704402515,0.20526315789473687,0.3388429752066118,0.5230769230769228,0.6584158415841586,0.32608695652173897,0.17708333333333348,0.24731182795698925,0.3447445162926335,2360.0,1340.0,5236.0,844.0,8037.0,Cloudy,20.0,0.3184,0.31881,21.2,78.8,Cloudy
1-22-2000,2000,1,22,0.2417582417582418,0.358490566037736,0.11578947368421054,0.14049586776859524,0.2435897435897436,0.6584158415841586,0.06521739130434784,0.21875,0.2258064516129028,0.4089007227082541,2730.0,2324.0,5517.0,749.0,8818.0,Fog,21.0,0.27032,0.27347,21.1,67.9,Fog
1-23-2000,2000,1,23,0.20879120879120894,0.320754716981132,0.11052631578947371,0.08264462809917372,0.19743589743589718,0.6732673267326703,0.06521739130434784,0.16666666666666696,0.23655913978494625,0.5050082414099151,1799.0,5007.0,5571.0,737.0,8911.0,Clear,22.0,0.22034,0.316,20.8,66.1,Clear
1-24-2000,2000,1,24,0.21978021978021944,0.270440251572327,0.07894736842105264,0.04132231404958686,0.1333333333333333,0.722772277227719,0.08695652173913038,0.17708333333333348,0.20430107526881724,0.493089894763535,1455.0,5217.0,5594.0,710.0,8988.0,Clear,23.0,-0.06542,0.44939,20.9,63.6,Clear
